epoch	scaling	#test	difAvg	0difAvg	accur	TP	TN	FP	FN	P	N	correct
note: difAvg error (squared) and 0-difAvg error (squared) are multiplied by 100
1	1792	265	0.4206	0.4248	1.0098	99.6226	0.0	0.3774	0.0	99.6226	0.3774	99.6226
1	2048	257	0.4179	0.4214	1.0085	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	2560	260	0.3087	0.3134	1.015	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	3072	259	0.4669	0.4686	1.0037	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	3584	295	0.4532	0.4571	1.0087	99.661	0.0	0.339	0.0	99.661	0.339	99.661
1	4096	275	0.2727	0.2738	1.0039	99.6364	0.0	0.3636	0.0	99.6364	0.3636	99.6364
1	5120	244	0.3948	0.3967	1.0048	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	6144	247	0.3427	0.3442	1.0045	99.5951	0.0	0.4049	0.0	99.5951	0.4049	99.5951
1	7168	275	0.3904	0.3917	1.0034	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	8192	285	0.4897	0.4911	1.0029	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	10240	258	0.3021	0.303	1.0028	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	12288	254	0.2888	0.2892	1.0013	99.2126	0.0	0.7874	0.0	99.2126	0.7874	99.2126
1	14336	268	0.2188	0.2191	1.0013	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	16384	249	0.4564	0.457	1.0014	99.5984	0.0	0.4016	0.0	99.5984	0.4016	99.5984
1	20480	261	0.4985	0.4991	1.0012	99.6169	0.0	0.3831	0.0	99.6169	0.3831	99.6169
1	24576	277	0.2135	0.2139	1.0015	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	28672	292	0.6423	0.6431	1.0012	99.3151	0.0	0.6849	0.0	99.3151	0.6849	99.3151
1	32768	264	0.3193	0.3196	1.001	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	40960	257	0.3348	0.335	1.0006	99.6109	0.0	0.3891	0.0	99.6109	0.3891	99.6109
1	2147483647	245	0.4376	0.4376	1.0	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	2147483647	246	0.2274	0.2274	1.0	99.5935	0.0	0.4065	0.0	99.5935	0.4065	99.5935
1	2147483647	247	0.4008	0.4008	1.0	100.0	0.0	0.0	0.0	100.0	0.0	100.0
